"Schedule (Fall 2026)

Time & location: TBD & TBD",,,,
Week,Speaker,Title,Abstract,
08/31,,,,
09/07,,,,
09/14,,,,
09/21,,,,
09/28,,,,
10/05,,,,
10/19,,,,
10/26,,,,
11/02,,,,
11/09,,,,
11/16,,,,
11/23,,,,
11/30,,,,
,,,,
"Schedule (Spring 2026)

Time & location: GHC 8228 11am-12pm",,,,
Date,Speaker,Title,Abstract,
02/23,Ben Chugg,Post-hoc asymptotic inference ,"We derive inferential procedures for large sample sizes that remain valid under data-dependent significance levels (so-called ""post-hoc valid inference""). Classical statistical tools require that the significance level -- the ""type-I error"" -- is selected prior to seeing or analyzing any data. This restriction leads to some drawbacks. For instance, if an analyst generates an inconclusive confidence interval, repeating the process with a larger significance level is not an option -- the result is final. Recently, e-values have emerged as the solution to this problem, being both necessary and sufficient tools for performing various forms of post-hoc inference. All such results, however, have thus far been nonasymptotic. As a result, they inherit familiar limitations of nonasymptotic inferential procedures such as requiring strong moment assumptions and being conservative in general. This paper develops a theory of post-hoc inference in the asymptotic setting, yielding asymptotic post-hoc confidence sets and asymptotic post-hoc p-values that make weaker assumptions and are sharper than their nonasymptotic counterparts.",
03/02,Spring Break,,,
03/09,Jingwu Tang,Dimension-free decision calibration for nonlinear loss functions,,
03/16,Arun Kuchibhotla,Confidence sets for Multivariate and Infinite-dimensional parameters,,
03/23,Sanjit Dandapanthula,Gradient descent for deep equilibrium single-index models,"Deep equilibrium models (DEQs) have recently emerged as a powerful paradigm for training infinitely deep weight-tied neural networks that achieve state of the art performance across many modern machine learning tasks. Despite their practical success, theoretically understanding the gradient descent dynamics for training DEQs remains an area of active research. In this work, we rigorously study the gradient descent dynamics for DEQs in the simple setting of linear models and single-index models, filling several gaps in the literature. We prove a conservation law for linear DEQs which implies that the parameters remain trapped on spheres during training and use this property to show that gradient flow remains well-conditioned for all time. We then prove linear convergence of gradient descent to a global minimizer for linear DEQs and deep equilibrium single-index models under appropriate initialization and with a sufficiently small step size. Finally, we validate our theoretical findings through experiments.",
03/30,Ziqi Liu,A Causal Perspective on Shapley Value and Probabilistic Value Estimation,"Shapley values and probabilistic values provide principled ways to assign credit in problems such as data valuation, but their estimation is challenging because the underlying utility function is defined on all (2^n) subsets of (n) items. In this talk, I will describe a causal perspective on this problem. The key idea is to treat the subset-indexed utility (u(S)) as a multi-treatment response surface and to view the target value as a linear functional of that surface. For a fixed player, this leads to a weighted average of marginal treatment effects; for the full value vector, it leads to questions of design, sample reuse, and efficient correction.

Using this viewpoint, I will revisit several lines of work in the Shapley literature and connect them to familiar ideas from causal inference, including matched or paired designs, inverse-probability weighting, regression adjustment, and doubly robust style estimators. I will focus on how these methods trade off variance reduction, sample reuse, and structural modeling of the utility function, and on why this perspective may be useful for understanding recent advances in semivalue estimation.
",
